canonical_precursor,n_rows,co2_min,co2_max,co2_range,ch4_min,ch4_max,ch4_range
CC1=NN=C(C)C1C1C(C)=NN=C1C.CC1=NNC(C)=C1C1=C(C)NN=C1C.O=C([O-])c1ccc(C(=O)[O-])cc1.[Zn][O]([Zn])([Zn])[Zn],2,0.744397321,0.778088815,0.033691494000000044,11.7336906805,11.9313990456,0.19770836509999867
CC1=NN=C(C)N1.O=C([O-])c1ccc(C(=O)O)cc1.[Zn].[Zn][Zn],2,0.45795541,0.487203508,0.029248098,10.7128568798,10.7502445899,0.03738771009999908
CC1=NN=C(C)N1.[Cu][OH]1[Cu][O][Cu]1,2,0.634193076,0.754299352,0.12010627600000001,7.1818315904,7.318045845599999,0.13621425519999875
CC1=NN=NN1.O=C([O-])c1ccncc1.[Zn],2,1.07997608,1.262026827,0.1820507469999999,3.0674473593,3.0696221297000004,0.0021747704000003587
CC1=NN=NN1.[Zn],4,1.101828768,3.142909756,2.041080988,4.5024530523,9.3283865555,4.8259335032
CC1=N[CH]NN1.[Zn],3,0.19392989,0.282031284,0.088101394,7.5512564755,8.1551361497,0.6038796742000008
CCC(=O)NNC(=O)c1ccccc1O.[CH2]C(=O)NNC(=O)c1ccccc1O.[Mn].c1cc(CCc2ccncc2)ccn1,2,1.541523077,1.708753418,0.167230341,8.3254554096,8.4730522457,0.14759683609999996
CCC(=O)NNC(=O)c1ccccc1O.[Mn].c1cc(CCc2ccncc2)ccn1,5,1.621818831,1.749556558,0.1277377270000002,7.9843368661,8.3178479883,0.3335111222000009
CCC1(Oc2c(c3ccc(C(=O)[O-])cc3)cc(c3cc(c4ccc(C(=O)[O-])cc4)c(OC4(CC)CC4)c(c4ccc(C(=O)[O-])cc4)c3)cc2c2ccc(C(=O)[O-])cc2)CC1.[Cu][Cu],10,0.301326715,1.660090676,1.358763961,12.1071564756,18.1540395162,6.046883040600001
CCC1=NN=CN1.[Ag].[Ag][Ag],2,0.642468574,0.676692802,0.03422422800000002,1.5413385512,1.5468084356999998,0.005469884499999855
CCCCCC(=O)NNC(=O)c1ccccc1O.[Mn].c1cc(CCc2ccncc2)ccn1,8,1.705405034,1.857606839,0.15220180500000002,5.3196550307,5.687105079,0.3674500483000003
CCOc1c(c2ccc(C(=O)[O-])cc2)cc(c2cc(c3ccc(C(=O)[O-])cc3)c(OCC)c(c3ccc(C(=O)[O-])cc3)c2)cc1c1ccc(C(=O)[O-])cc1.[Cu][Cu],25,0.284859618,1.825740748,1.54088113,12.1122942614,20.7459092511,8.633614989699998
CCOc1cc(c2ccc(C(=O)[O-])cc2)c2cc(c3ccc(C(=O)[O-])cc3)ccc2c1c1c(OCC)cc(c2ccc(C(=O)[O-])cc2)c2cc(c3ccc(C(=O)[O-])cc3)ccc21.[Cu][Cu],2,0.551628943,0.588947331,0.03731838799999998,12.578127036600002,18.2147894102,5.6366623736
CCc1cnc(C(=O)[O-])c(C(=O)[O-])c1.[Co].c1cc(CCc2ccncc2)ccn1,2,2.13940104,2.630909109,0.491508069,2.7730467999,3.02639979,0.25335299010000023
CN1N=NNC1=S.[Ag].[Ag][Ag],2,0.304857917,0.321050555,0.016192638000000037,5.638299214400001,5.7236857606,0.08538654619999875
COC(=O)c1cc(C(=O)[O-])cc(C(=O)[O-])c1.[Cu][Cu],2,2.018543296,2.609414011,0.5908707150000003,3.1869214995,3.6497877179,0.46286621839999986
COC(OC)c1cc(C(=O)[O-])cc(C(=O)[O-])c1.[CH2]OC(OC)c1cc(C(=O)[O-])cc(C(=O)[O-])c1.[CH2]OC(O[CH2])c1cc(C(=O)[O-])cc(C(=O)[O-])c1.[Cu][Cu],3,2.010855459,2.643959426,0.6331039669999998,2.6598768426,3.5452223443,0.8853455016999998
COc1c(c2ccc(C(=O)[O-])cc2)cc(c2cc(c3ccc(C(=O)[O-])cc3)c(OC)c(c3ccc(C(=O)[O-])cc3)c2)cc1c1ccc(C(=O)[O-])cc1.[Cu][Cu],18,0.277701859,1.74183253,1.464130671,12.7798903609,20.6508317289,7.870941367999999
COc1ccc2nccc(C(O)C3CC4CCN3CC4C(=O)[O-])c2c1.[Cd],2,1.432117786,1.483128564,0.05101077799999998,2.459269724,2.7619703568,0.30270063280000015
Cc1[n-][nH]c(C)c1Cc1c(C)[n-][nH]c1C.[Cd],2,0.639812627,1.148094765,0.508282138,5.932219527000001,6.9641948562,1.031975329199999
